id,created_at,content,post_time_of_day,post_day_of_week,sentiment_score,emotion_label,location,geolocation,account,reblogs_count,favourites_count,url
113953987735435389,2025-02-05T23:57:35+00:00,"For mine, Israel should be declared a terrorist state (so Australian citizens who have gone to fight for Israel are subject to prosecution). At the very least, such ""lone soldiers"" are a menace. https:// johnmenadue.com/lone-soldiers- lone-wolves-are-idf-returnees-a-security-threat/ # AusPol # Israel # terrorism",Evening,Wednesday,-0.06958333333333333,negative,Darwin,"-12.463440,130.845642",DropBear@theblower.au,0,1,https://theblower.au/@DropBear/113953987325559947
113953910097867425,2025-02-05T23:37:57.078000+00:00,"@ franksting Some of us know that it is just a subsidiary of Sky News these days and this sort of stuff is just expected. Spud, the new mini Trump #auspol",Evening,Wednesday,0.04545454545454545,positive,Sydney,"-33.868820,151.209296",Tubsta@soc.feditime.com,1,0,https://soc.feditime.com/objects/e7569c9b-0eff-4124-b62d-e2f4b6216141
113953896418065554,2025-02-05T23:34:19+00:00,"From @ JennaPrice “The proposed spending caps don’t address all the party advantages.” They will seriously reduce capacity of independents. # money # politics # auspol # democracy A serious revamp of donation caps would mostly fix the problem. “Between now and next week…Ring your local member and tell them they have no right to limit your political choice. If they vote for this raft of changes to political donation rules, you will vote for the independent candidate in your seat. Gather your friends and neighbours. Make the two main parties pay – attention at least.” https:// smh.com.au/national/labor-and- libs-want-to-be-coles-and-woollies-but-many-of-us-want-to-shop-around-20250203-p5l99r.html",Evening,Wednesday,-0.026050420168067225,negative,Darwin,"-12.463440,130.845642",ApaulD@aus.social,1,0,https://aus.social/@ApaulD/113953895856365259
113953874378899128,2025-02-05T23:28:50+00:00,# AustraliaInstitute # auspol Australia Must Support Palestinian Self-Determination and Facilitate Long-Term Peacebuilding in the Middle East Read more… https:// australiainstitute.org.au/post /australia-must-support-palestinian-self-determination-and-facilitate-long-term-peacebuilding-in-the-middle-east/?utm_source=rss&utm_medium=rss&utm_campaign=australia-must-support-palestinian-self-determination-and-facilitate-long-term-peacebuilding-in-the-middle-east,Evening,Wednesday,0.0,neutral,Canberra,"-35.280937,149.130009",Alpha1Nine@aus.social,2,1,https://aus.social/@Alpha1Nine/113953874264925304
113953857099047749,2025-02-05T23:24:25+00:00,"@ samhkennedy can't imagine so but I guess we'll have to wait and see There are plenty of issues where Labor and the LNP are on the same page in regards to Trump's actions. Not all of course, but plenty # auspol",Evening,Wednesday,0.0,neutral,Canberra,"-35.280937,149.130009",HardBeingGreen@theblower.au,0,0,https://theblower.au/@HardBeingGreen/113953856910524421
113953828448565331,2025-02-05T23:17:09+00:00,"# seppo If Trump takes over Gaza it will make the Northern Ireland troubles look like row over who was going to stack the dishwasher. The numbers of US soldiers that will be coming back in body bags will be worse than Lebanon, Iraq and Afghanistan. Australia must have nothing to do with this insanity. # auspol",Evening,Wednesday,-0.1,negative,Canberra,"-35.280937,149.130009",Old_IT_geek@techhub.social,1,1,https://techhub.social/@Old_IT_geek/113953828339949464
113953808769419286,2025-02-05T23:12:10+00:00,Hands off our elections https:// australiainstitute.org.au/post /hands-off-our-elections/?utm_source=rss&utm_medium=rss&utm_campaign=hands-off-our-elections # Auspol,Evening,Wednesday,0.0,neutral,Adelaide,"-34.928497,138.600739",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113953808718825589
113953804860149328,2025-02-05T23:11:11.232000+00:00,"$37,602,645 in Federal contracts to the big consultants in 2025. $15,571,280 yesterday. - KPMG: $345,000 - Deloitte: $1,833,700 - Accenture: $13,392,580 {1072} ( https:// politicalgadgets.com ) # auspol",Evening,Wednesday,0.0,neutral,Adelaide,"-34.928497,138.600739",politicalgadgets,0,0,https://mastodon.au/@politicalgadgets/113953804860149328
113953758567502149,2025-02-05T22:59:17+00:00,"This is clever. The text, background colour and rattlesnake reference the US revolutionary Gadsden flag, which has been appropriated by Trump's MAGA mob. # AusPol # USpol",Evening,Wednesday,0.05555555555555555,positive,Hobart,"-42.882137,147.327195",DropBear@theblower.au,0,1,https://theblower.au/@DropBear/113953758061532317
113953756168415045,2025-02-05T22:33:07+00:00,"While Uni Vice-Chancellors rake in millions, young researchers struggle to survive https:// australiainstitute.org.au/post /while-uni-vice-chancellors-rake-in-millions-young-researchers-struggle-to-survive/?utm_source=rss&utm_medium=rss&utm_campaign=while-uni-vice-chancellors-rake-in-millions-young-researchers-struggle-to-survive # Auspol",Evening,Wednesday,0.03333333333333333,positive,Brisbane,"-27.469770,153.025131",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113953655176329964
